File Location,Line Number,Issue,Type,Severity,Effort,Rule,Tags
com.adobe:training.core:src/main/java/com/adobe/training/core/AutoAssignACL.java,106,Catch a list of specific exception subtypes instead.,Code Smell,Major,15min,squid:S2221,"cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/AutoAssignACL.java,107,Do not use Exception.getMessage() as the first parameter of the Logger.log statement,Code Smell,Minor,15min,CQRules:CQBP-44---ExceptionGetMessageIsFirstLogParam,cqsoftwarequality
com.adobe:training.core:src/main/java/com/adobe/training/core/AutoAssignACL.java,108,Do not use Exception.printStackTrace() to print to console,Code Smell,Minor,15min,CQRules:CQBP-44---ExceptionPrintStackTrace,cqsoftwarequality
com.adobe:training.core:src/main/java/com/adobe/training/core/listeners/ReplicationListener.java,48,Catch a list of specific exception subtypes instead.,Code Smell,Major,15min,squid:S2221,"cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/listeners/ReplicationListener.java,50,Do not use Exception.printStackTrace() to print to console,Code Smell,Minor,15min,CQRules:CQBP-44---ExceptionPrintStackTrace,cqsoftwarequality
com.adobe:training.core:src/main/java/com/adobe/training/core/listeners/TitlePropertyListener.java,48,"A ""NullPointerException"" could be thrown; ""changedRes"" is nullable here.",Bug,Major,10min,squid:S2259,"cert,cwe"
com.adobe:training.core:src/main/java/com/adobe/training/core/listeners/TitlePropertyListener.java,40,Use constant JCR_TITLE from interface com.day.cq.commons.jcr.JcrConstants instead of hardcoded value.,Code Smell,Minor,,AEM Rules:AEM-2,aem
com.adobe:training.core:src/main/java/com/adobe/training/core/ReplicationLogger.java,50,Do not use Exception.printStackTrace() to print to console,Code Smell,Minor,15min,CQRules:CQBP-44---ExceptionPrintStackTrace,cqsoftwarequality
com.adobe:training.core:src/main/java/com/adobe/training/core/schedulers/StockImportScheduler.java,141,"Use try-with-resources or close this ""JsonParser"" in a ""finally"" clause.",Bug,Blocker,5min,squid:S2095,"cert,cwe,denial-of-service,leak"
com.adobe:training.core:src/main/java/com/adobe/training/core/schedulers/StockImportScheduler.java,135,HttpClient instances should always have socket and connect timeouts,Bug,Critical,15min,CQRules:ConnectionTimeoutMechanism,
com.adobe:training.core:src/main/java/com/adobe/training/core/schedulers/StockImportScheduler.java,199,Use constant NT_SLING_ORDERED_FOLDER from class org.apache.sling.jcr.resource.JcrResourceConstants instead of hardcoded value.,Code Smell,Minor,,AEM Rules:AEM-2,aem
com.adobe:training.core:src/main/java/com/adobe/training/core/schedulers/StockImportScheduler.java,204,Use constant NT_UNSTRUCTURED from interface com.day.cq.commons.jcr.JcrConstants instead of hardcoded value.,Code Smell,Minor,,AEM Rules:AEM-2,aem
com.adobe:training.core:src/main/java/com/adobe/training/core/schedulers/StockImportScheduler.java,203,Use constant NT_SLING_ORDERED_FOLDER from class org.apache.sling.jcr.resource.JcrResourceConstants instead of hardcoded value.,Code Smell,Minor,,AEM Rules:AEM-2,aem
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/CSVPageCreator.java,58,"Make ""logger"" transient or serializable.",Code Smell,Critical,30min,squid:S1948,"cwe,serialization"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/CSVPageCreator.java,61,"Make ""replicator"" transient or serializable.",Code Smell,Critical,30min,squid:S1948,"cwe,serialization"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/CSVPageCreator.java,94,Define and throw a dedicated exception instead of using a generic one.,Code Smell,Major,20min,squid:S00112,"cert,cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/CSVPageCreator.java,190,Catch a list of specific exception subtypes instead.,Code Smell,Major,15min,squid:S2221,"cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/PageCreator.java,50,"Make ""replicator"" transient or serializable.",Code Smell,Critical,30min,squid:S1948,"cwe,serialization"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/PageCreator.java,55,"Remove this useless assignment to local variable ""resultObject"".",Code Smell,Major,15min,squid:S1854,"cert,cwe,unused"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/PageCreator.java,126,Catch a list of specific exception subtypes instead.,Code Smell,Major,15min,squid:S2221,"cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/SearchServlet.java,73,Catch a list of specific exception subtypes instead.,Code Smell,Major,15min,squid:S2221,"cwe,error-handling"
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/SearchServlet.java,74,Do not use Exception.printStackTrace() to print to console,Code Smell,Minor,15min,CQRules:CQBP-44---ExceptionPrintStackTrace,cqsoftwarequality
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/TitleSlingServlet.java,44,Don't use format strings that may be externally-controlled,Vulnerability,Major,15min,CQRules:CWE-134,cqsecurity
com.adobe:training.core:src/main/java/com/adobe/training/core/servlets/TitleSlingServlet.java,19,Do not use Sling servlet paths to register servlet,Code Smell,Major,30min,CQRules:CQBP-75,cqsoftwarequality
